linkStart,linkEnd,capacity
R1176,R1993,1000000
R1321,R3244,1000000
R3244,R1321,1000000
R1993,R1176,1000000
R2610,R2153,878788
R2153,R2610,878788
R3403,R3418,818182
R3418,R3403,818182
R3457,R1434,787879
R1434,R3457,787879
R1434,R2428,787879
R2428,R1434,787879
R3372,R3241,757576
R2428,R3240,757576
R3240,R3457,757576
R3372,R4151,757576
R3241,R3372,757576
R4151,R3372,757576
R3240,R2428,757576
R3457,R3240,757576
R4151,R3403,727273
R3403,R4151,727273
R2528,R3715,666667
R3715,R2528,666667
R2401,R4114,666667
R4114,R2401,666667
R4130,R4080,636364
R2528,R4063,636364
R3449,R3341,636364
R3595,R2012,636364
R3341,R3449,636364
R4080,R4130,636364
R4063,R2528,636364
R2012,R3595,636364
R2481,R2752,606061
R2264,R1743,606061
R1674,R4063,606061
R3715,R1260,606061
R1428,R3935,606061
R1743,R2264,606061
R2752,R2481,606061
R3935,R1428,606061
R1260,R3715,606061
R4063,R1674,606061
R1532,R3935,545455
R2745,R3372,545455
R2264,R2057,545455
R3935,R1532,545455
R1428,R4030,545455
R2745,R3403,545455
R2985,R3945,545455
R2238,R2481,545455
R4030,R1428,545455
R3372,R3459,545455
R3372,R2745,545455
R1993,R2057,545455
R2057,R2264,545455
R2057,R1993,545455
R3403,R2745,545455
R3459,R3372,545455
R2481,R2238,545455
R3403,R3459,545455
R3459,R3403,545455
R3945,R2985,545455
R3595,R3403,515152
R4063,R3129,515152
R3715,R1825,515152
R3129,R4063,515152
R3715,R3521,515152
R3715,R4272,515152
R2951,R1993,515152
R4272,R4063,515152
R1993,R2951,515152
R1334,R1665,515152
R4063,R3521,515152
R1993,R3935,515152
R3403,R3595,515152
R4063,R4272,515152
R1665,R1334,515152
R3372,R3449,515152
R3935,R1993,515152
R1825,R3715,515152
R4272,R3715,515152
R3449,R3372,515152
R3521,R3715,515152
R3521,R4063,515152
R3591,R1993,484848
R2264,R3591,484848
R1993,R3591,484848
R3392,R2449,484848
R3935,R1392,484848
R1392,R2752,484848
R1392,R3935,484848
R2898,R1532,484848
R3591,R2264,484848
R2951,R2264,484848
R2449,R3392,484848
R1532,R2898,484848
R2264,R2951,484848
R2752,R1392,484848
R1419,R4291,424545
R4291,R1419,424545
R2428,R3945,424242
R2550,R1992,424242
R1334,R3457,424242
R2264,R3896,424242
R3457,R1334,424242
R1992,R2550,424242
R3945,R2428,424242
R3896,R1993,424242
