router,latitude,longitude,type
R1000,40.287677,-44.037047,customer
R1001,40.675681,-38.244772,customer
R1002,38.325356,-39.935909,customer
R1003,41.432022,-38.015464,customer
R1004,41.348552,-46.092306,internal
R1005,43.657868,-42.345703,customer
R1006,37.842594,-41.855116,internal
R1007,40.443172,-38.965978,customer
R1008,41.190653,-39.523883,customer
R1009,41.275201,-37.898733,customer
R1010,37.723088,-41.926379,internal
R1011,39.864191,-44.033781,customer
R1012,41.098944,-42.443412,customer
R1013,40.180942,-44.790964,customer
R1014,37.420575,-39.596744,customer
R1015,37.091887,-39.130185,internal
R1016,40.603058,-43.906795,customer
R1017,38.613019,-40.037566,internal
R1018,39.817700,-44.395517,customer
R1019,36.839695,-41.034717,customer
R1020,37.681811,-39.280159,customer
R1021,40.337778,-44.464576,internal
R1022,38.829351,-44.332600,customer
R1023,40.111040,-44.334372,internal
R1024,42.060872,-42.346830,customer
R1025,40.067966,-43.949408,customer
R1026,39.960761,-43.802575,customer
R1027,42.682613,-41.175338,customer
R1028,40.989092,-38.983377,internal
R1029,38.450517,-40.098625,internal
R1030,38.382201,-40.265552,internal
R1031,39.319157,-42.473533,internal
R1032,39.426558,-37.816412,customer
R1033,41.290378,-37.595228,customer
R1034,40.083306,-38.895804,customer
R1035,42.658107,-43.210204,customer
R1036,39.874126,-38.822022,customer
R1037,42.096833,-42.182717,internal
R1038,40.446132,-44.067278,internal
R1039,39.125106,-42.134641,internal
R1040,37.909017,-38.059070,customer
R1041,43.140334,-41.497649,customer
R1042,43.050727,-40.674946,customer
R1043,43.089191,-39.353231,customer
R1044,42.300922,-43.244405,internal
R1045,39.180391,-42.193347,customer
R1046,37.574020,-41.903532,internal
R1047,41.438604,-39.279716,customer
R1048,37.763274,-41.881897,customer
R1049,40.185672,-43.806821,customer
R1050,41.150060,-39.819400,customer
R1051,37.500340,-37.587098,customer
R1052,39.008789,-42.555243,internal
R1053,37.541087,-41.750244,customer
R1054,41.788650,-42.317337,internal
R1055,40.573950,-44.482708,customer
R1056,37.276112,-42.845353,customer
R1057,41.666326,-37.903900,internal
R1058,39.592233,-40.508555,customer
R1059,39.682099,-44.232614,internal
R1060,41.394907,-36.913476,customer
R1061,40.415672,-44.214654,internal
R1062,42.686872,-41.868056,customer
R1063,37.571456,-39.892300,customer
R1064,37.523553,-39.934322,customer
R1065,36.836431,-41.885683,customer
R1066,42.254583,-42.824442,customer
R1067,36.990112,-40.018093,customer
R1068,37.999885,-40.734642,internal
R1069,39.733867,-43.970552,internal
R1070,41.532835,-41.585085,internal
R1071,41.373383,-41.566805,customer
R1072,36.904977,-41.844248,customer
R1073,41.270945,-39.985852,customer
R1074,38.391602,-42.709738,customer
R1075,40.055233,-43.634214,customer
R1076,37.021697,-39.525597,internal
R1077,37.095823,-39.204104,customer
R1078,41.522141,-42.464749,internal
R1079,37.964335,-42.537021,customer
R1080,40.164694,-36.025434,customer
R1081,39.428252,-44.295435,customer
R1082,39.800575,-39.907292,internal
R1083,38.160756,-38.833035,internal
R1084,36.912599,-39.413383,customer
R1085,40.380389,-44.281343,internal
R1086,38.058245,-41.296723,customer
R1087,38.796152,-42.105576,internal
R1088,41.762682,-44.120558,customer
R1089,41.541571,-37.881474,customer
R1090,40.206314,-36.346104,customer
R1091,27.722733,-127.857088,internal
R1092,40.608786,-44.250296,internal
R1093,37.158816,-39.151110,internal
R1094,40.669541,-43.843974,customer
R1095,42.232234,-42.176787,internal
R1096,40.106501,-39.004304,internal
R1097,42.566162,-41.195084,internal
R1098,41.381682,-42.610719,customer
R1099,40.765658,-42.368299,customer
R1100,36.585827,-42.830875,customer
R1101,43.134029,-40.342507,internal
R1102,38.904737,-42.604151,internal
R1103,40.535403,-43.878739,customer
R1104,41.472120,-37.375918,customer
R1105,39.334524,-42.548973,customer
R1106,37.722175,-42.378627,customer
R1107,40.424185,-44.467853,customer
R1108,39.661026,-37.596667,customer
R1109,40.919602,-42.271678,internal
R1110,39.885946,-44.264751,customer
R1111,36.879028,-41.185669,customer
R1112,39.091668,-42.091251,customer
R1113,40.094874,-44.270832,customer
R1114,38.755998,-40.179829,customer
R1115,38.472706,-43.199912,customer
R1116,41.517865,-37.552409,customer
R1117,40.290431,-39.202766,internal
R1118,43.694838,-41.997537,customer
R1119,40.150272,-38.876200,customer
R1120,42.522801,-41.272411,customer
R1121,40.031959,-43.120937,internal
R1122,37.591143,-42.021049,customer
R1123,40.010041,-44.304595,internal
R1124,40.403071,-43.236206,internal
R1125,38.007709,-38.007570,customer
R1126,41.165670,-41.999861,customer
R1127,42.790639,-40.292247,customer
R1128,38.927727,-41.198582,customer
R1129,40.563270,-39.984246,customer
R1130,40.485371,-38.848492,internal
R1131,37.880057,-38.745278,customer
R1132,39.382197,-40.328857,customer
R1133,43.189759,-36.892279,customer
R1134,39.418372,-38.777513,internal
R1135,42.761478,-40.441059,customer
R1136,39.025161,-41.944989,customer
R1137,41.414927,-41.083807,internal
R1138,31.206212,-29.894086,internal
R1139,38.150808,-39.989243,customer
R1140,37.687418,-42.497446,customer
R1141,40.043345,-37.856711,customer
R1142,42.037950,-41.978925,internal
R1143,39.765180,-38.667647,customer
R1144,41.264137,-37.320929,customer
R1145,39.558500,-43.249828,customer
R1146,39.469257,-43.926532,customer
R1147,41.190815,-41.099109,customer
R1148,40.379547,-38.600745,customer
R1149,39.306668,-44.512845,customer
R1150,36.861041,-43.179332,customer
R1151,40.402251,-41.927774,customer
R1152,38.374796,-42.310450,internal
R1153,38.842906,-43.126888,internal
R1154,40.074975,-36.990206,customer
R1155,39.663921,-38.639939,customer
R1156,39.482250,-42.474705,customer
R1157,38.751685,-40.303471,internal
R1158,43.281554,-38.331253,internal
R1159,40.832547,-42.699409,customer
R1160,40.806474,-43.808325,customer
R1161,38.248095,-42.442064,customer
R1162,39.248540,-43.218456,customer
R1163,40.049794,-42.661792,customer
R1164,39.293521,-42.430999,internal
R1165,40.628910,-38.915386,internal
R1166,40.601884,-44.197301,customer
R1167,37.657214,-41.232916,customer
R1168,39.863545,-42.122357,internal
R1169,42.534983,-40.870445,internal
R1170,37.019887,-39.644864,customer
R1171,36.732427,-41.707483,internal
R1172,38.908807,-39.662697,customer
R1173,41.042958,-40.508841,customer
R1174,40.865641,-37.513045,customer
R1175,40.750915,-41.320854,internal
R1176,39.435245,-42.475831,internal
R1177,11.392829,63.188085,internal
